"Harapan_Lama_Sekolah","Pengeluaran_Perkapita","Rerata_Lama_Sekolah","Usia_Harapan_Hidup","IPM"
"12:58","10713","7:51","64.76","Normal"
"0.60208333333333","14575","0.47430555555556","71:06:00","High"
"13:18","13041","10:08","66.69","High"
"0.55486111111111","13281","0.39513888888889","68:12:00","High"
"0.62916666666667","15751","0.51527777777778","72:47:00","Very-High"
"13:04","13820","9:06","72:24:00","High"
"0.56388888888889","11675","8:35","72:46:00","High"
"13:01","14326","9:14","73.75","High"
"0.61041666666667","17327","0.45972222222222","75:18:00","Very-High"
"0.60902777777778","14391","9:29","73.78","High"
"13","11287","8:14","71:41:00","High"
"12:35","11201","7:18","70.62","Normal"
"12:42","10175","6:33","70:56:00","Normal"
"13:08","13362","7:25","71.95","High"
"14:09","19598","11:48","74.93","Very-High"
"13:09","10377","7:38","66.69","Normal"
"0.60763888888889","11334","6:42","67:19:00","Normal"
"0.60069444444444","9962","6:29","66:38:00","Normal"
"13:09","9450","0.29930555555556","66:16:00","Normal"
"13:07","9167","8:15","67.73","Normal"
"13:53","8899","0.38333333333333","66.99","Normal"
"13:39","8495","0.35486111111111","66:05:00","Normal"
"0.58611111111111","11548","0.38333333333333","68:31:00","High"
"0.55277777777778","9057","6:04","67:36:00","Normal"
"0.66944444444444","14999","9:54","71.88","High"
"15:04","11135","0.46180555555556","70:05:00","High"
"13:02","7554","0.33958333333333","67:15:00","Normal"
"13:12","7307","0.30833333333333","67:12:00","Normal"
"0.55763888888889","9354","7:32","65:16:00","Normal"
"0.60138888888889","7476","7:39","64.91","Normal"
"12:58","6839","0.30138888888889","66:46:00","Normal"
"13:32","6324","0.35833333333333","67:09:00","Normal"
"12:28","7431","7:36","64.89","Normal"
"12:24","6751","8:42","61.64","Normal"
"12:43","7257","8:23","67:02:00","Normal"
"0.56388888888889","7578","0.34166666666667","65:31:00","Normal"
"13:43","8021","0.31597222222222","67:45:00","Normal"
"0.59652777777778","9027","8:03","65:43:00","Normal"
"0.54930555555556","8819","8:53","68:12:00","Normal"
"0.58958333333333","7133","0.33402777777778","67:11:00","Normal"
"13:19","6503","0.34097222222222","64.88","Normal"
"12:29","7410","7:56","67:46:00","Normal"
"13:04","6061","6:47","68:42:00","Normal"
"13:07","6355","6:35","68:57:00","Normal"
"12:49","8254","7:09","67:25:00","Normal"
"12:26","5780","7:35","68:07:00","Normal"
"13:15","5256","0.29583333333333","60.66","Low"
"0.55486111111111","5861","7:01","65:01:00","Normal"
"16:41","13218","11:06","69.73","High"
"0.54513888888889","8974","7:45","70.76","Normal"
"0.54375","9828","0.3","69:08:00","Normal"
"12:01","9193","6:08","73.84","Normal"
"12:43","7431","7:12","73:04:00","Normal"
"0.54513888888889","7758","7:04","71:18:00","Normal"
"11:59","8328","7:39","71:42:00","Normal"
"0.51458333333333","9209","7:46","71:11:00","Normal"
"12:04","8708","7:08","71.84","Normal"
"12:08","7168","7:53","72:53:00","Normal"
"0.52013888888889","7462","0.30902777777778","72:05:00","Normal"
"11:17","8415","0.31319444444444","72.98","Normal"
"0.51666666666667","7920","6:02","68:48:00","Normal"
"0.60208333333333","8630","7","70.69","Normal"
"15:01","14610","10:43","73:12:00","High"
"0.56319444444444","11767","7:09","72:18:00","High"
"0.55138888888889","11182","0.37777777777778","69.79","High"
"0.55069444444444","13117","8:53","70.68","High"
"0.55902777777778","11866","8:15","69:09:00","High"
"0.56458333333333","11148","7:06","68.78","Normal"
"0.54583333333333","11492","0.39930555555556","67:19:00","High"
"12:05","9951","0.39236111111111","71:03:00","High"
"12:13","8773","8:09","71:56:00","Normal"
"12:49","11234","8:43","69:39:00","High"
"12","9420","0.35833333333333","69:26:00","Normal"
"0.55625","10568","0.38055555555556","65.87","Normal"
"12:42","10082","8:19","68:01:00","Normal"
"11:09","10809","9:18","70:46:00","High"
"0.55833333333333","11322","9:23","68:31:00","High"
"0.51111111111111","10449","0.33402777777778","69:53:00","Normal"
"0.65","14070","11:53","73:24:00","Very-High"
"0.55625","12143","8:34","68.83","High"
"12:31","11310","0.35347222222222","69:59:00","Normal"
